日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
2022-11-11	441.50	442.00	435.00	441.50	34.00	8.34%	83,597	36,762,443	15.017
2022-11-10	409.00	411.50	406.00	407.50	-9.50	-2.28%	32,692	13,357,311	13.8605
2022-11-09	403.50	417.00	403.50	417.00	18.00	4.51%	54,061	22,241,557	14.1837
2022-11-08	395.00	399.50	394.00	399.00	9.00	2.31%	32,533	12,937,811	13.5714
2022-11-07	390.00	393.00	387.00	390.00	8.00	2.09%	35,919	14,013,422	13.2653
2022-11-04	381.00	384.50	378.50	382.00	-2.00	-0.52%	28,915	11,027,264	12.9932
2022-11-03	385.00	387.00	383.50	384.00	-11.00	-2.78%	40,925	15,752,388	13.0612
2022-11-02	391.00	395.00	388.50	395.00	3.50	0.89%	22,921	8,994,941	13.4354
2022-11-01	388.50	393.00	386.00	391.50	1.50	0.38%	41,896	16,339,899	13.3163
2022-10-31	386.00	390.00	381.00	390.00	10.50	2.77%	38,943	15,076,890	13.2653
2022-10-28	379.50	382.00	375.00	379.50	-6.00	-1.56%	41,224	15,609,635	12.9082
2022-10-27	384.50	389.00	382.50	385.50	9.50	2.53%	46,382	17,890,519	13.1122
2022-10-26	370.50	379.00	370.00	376.00	5.00	1.35%	59,531	22,329,569	12.7891
2022-10-25	380.00	382.50	371.00	371.00	-16.00	-4.13%	80,613	30,305,865	12.619
2022-10-24	395.00	397.50	387.00	387.00	-2.50	-0.64%	48,008	18,728,637	13.1633
2022-10-21	395.50	398.50	389.50	389.50	-8.00	-2.01%	37,438	14,697,378	13.2483
2022-10-20	391.00	397.50	386.00	397.50	2.00	0.51%	54,664	21,339,228	13.5204
2022-10-19	404.00	405.00	395.50	395.50	-11.50	-2.83%	47,866	19,083,669	13.4524
2022-10-18	406.50	407.00	399.50	407.00	10.00	2.52%	39,952	16,129,565	13.8435
2022-10-17	400.00	403.50	396.00	397.00	-15.00	-3.64%	43,008	17,146,097	13.5034
2022-10-14	414.50	416.00	409.00	412.00	17.00	4.30%	55,600	22,966,750	14.0136
2022-10-13	400.50	403.00	395.00	395.00	-2.50	-0.63%	39,649	15,835,977	13.4354
